# Gaussian list for Abell_85_Linpol_Freqmean.fits
# Generated by PyBDSM version 1.9.1
# Reference frequency of the detection ("ch0") image: 1.28379e+09 Hz
# Equinox : 2000.0 

# Gaus_id, Isl_id, Source_id, Wave_id, RA, E_RA, DEC, E_DEC, Total_flux, E_Total_flux, Peak_flux, E_Peak_flux, Xposn, E_Xposn, Yposn, E_Yposn, Maj, E_Maj, Min, E_Min, PA, E_PA, Maj_img_plane, E_Maj_img_plane, Min_img_plane, E_Min_img_plane, PA_img_plane, E_PA_img_plane, DC_Maj, E_DC_Maj, DC_Min, E_DC_Min, DC_PA, E_DC_PA, DC_Maj_img_plane, E_DC_Maj_img_plane, DC_Min_img_plane, E_DC_Min_img_plane, DC_PA_img_plane, E_DC_PA_img_plane, Isl_Total_flux, E_Isl_Total_flux, Isl_rms, Isl_mean, Resid_Isl_rms, Resid_Isl_mean, S_Code
   0,    0,    0,    0, 10.69161974247103, 0.00001615118117, -9.20462317786676, 0.00001253604687, 0.00024221615098, 0.00000601496206, 0.00021210750726, 0.00000315565831, 97.53022300749051, 0.04868036825604, 466.73874588989088, 0.03778443159821, 0.00244238808530, 0.00004013181309, 0.00197439661060, 0.00002659672442, 115.26490295024360, 3.18820976834724, 0.00244237795964, 0.00004013171604, 0.00197438423180, 0.00002659651174, 115.22670608070371, 3.15001289880737, 0.00000000000000, 0.00004013181309, 0.00000000000000, 0.00002659672442, 0.00000000000000, 3.18820976834724, 0.00000000000000, 0.00004013171604, 0.00000000000000, 0.00002659651174, 0.00000000000000, 3.15001289880737, 0.00035006958387, 0.00000581363473, 0.00000308868380, 0.00001556158531, 0.00000314986687, 0.00001518398130, S   
   1,    1,    1,    0, 10.68678123574964, 0.00008124843826, -9.20650532394436, 0.00006771681824, 0.00005340795931, 0.00000626086728, 0.00004400362106, 0.00000312806419, 111.92961200984826, 0.24488643278129, 472.40203607917658, 0.20410276188389, 0.00266322134784, 0.00021927621980, 0.00192447440849, 0.00011811426446, 125.47952134017703, 10.44495588978583, 0.00266321515253, 0.00021927545594, 0.00192445961817, 0.00011811349343, 125.44209083806345, 10.40752538767222, 0.00170482533978, 0.00021927621980, 0.00000000000000, 0.00011811426446, 119.75403089173976, 10.44495588978583, 0.00170481985204, 0.00021927545594, 0.00000000000000, 0.00011811349343, 119.71660038962615, 10.40752538767222, 0.00010883122007, 0.00000437909332, 0.00000306037941, 0.00001556158350, 0.00000149175071, 0.00001551258720, S   
   2,    7,    2,    0, 10.62664076680351, 0.00000977739521, -9.26830371761661, 0.00001090224761, 0.00130221281911, 0.00003004977526, 0.00150022237777, 0.00001903100542, 290.95163544531732, 0.02946961164080, 658.56335455156852, 0.03286011577147, 0.00197409610317, 0.00002587742295, 0.00185676795654, 0.00002279381858, 164.65633561972470, 8.65187436834594, 0.00197409610143, 0.00002587740093, 0.00185675894061, 0.00002279372726, 164.62834197708349, 8.62388072570470, 0.00000000000000, 0.00002587742295, 0.00000000000000, 0.00002279381858, 0.00000000000000, 8.65187436834594, 0.00000000000000, 0.00002587740093, 0.00000000000000, 0.00002279372726, 0.00000000000000, 8.62388072570470, 0.00396850721157, 0.00011239382888, 0.00001980452907, 0.00001556158350, 0.00001743100802, 0.00008707358938, S   
   3,   12,    3,    0, 10.60469940688215, 0.00003358086394, -9.18402805593769, 0.00002818061605, 0.00012735788642, 0.00000703013283, 0.00011729139996, 0.00000381130060, 356.11282753164164, 0.10121469979494, 404.52102529495357, 0.08493808801290, 0.00239877816021, 0.00008691298462, 0.00191147994959, 0.00005570436593, 57.30048857900493, 6.49338488894938, 0.00239876376466, 0.00008691268716, 0.00191147965932, 0.00005570421384, 57.27624912902206, 6.46914543896650, 0.00000000000000, 0.00008691298462, 0.00000000000000, 0.00005570436593, 0.00000000000000, 6.49338488894938, 0.00000000000000, 0.00008691268716, 0.00000000000000, 0.00005570421384, 0.00000000000000, 6.46914543896650, 0.00024308790747, 0.00000742055809, 0.00000377457445, 0.00001556158350, 0.00000447642651, 0.00001697802691, S   
   4,   16,    4,    0, 10.58030404627355, 0.00002951023776, -9.06253579002354, 0.00002442505644, 0.00024928516403, 0.00001735182156, 0.00034154204156, 0.00001226156617, 428.57014330711689, 0.08894568225858, 38.30849842702911, 0.07361807368008, 0.00184731411488, 0.00007034181542, 0.00166845448421, 0.00005647355036, 105.08721809243241, 14.90266138643477, 0.00184731325821, 0.00007034098064, 0.00166843465886, 0.00005647352332, 105.06713896238341, 14.88258225638578, 0.00000000000000, 0.00007034181542, 0.00000000000000, 0.00005647355036, 0.00000000000000, 14.90266138643477, 0.00000000000000, 0.00007034098064, 0.00000000000000, 0.00005647352332, 0.00000000000000, 14.88258225638578, 0.00266770370845, 0.00008899357080, 0.00001353932112, 0.00001556158350, 0.00000968452059, 0.00006582693459, S   
   5,   17,    5,    0, 10.55816231358192, 0.00002786457207, -9.09088252796711, 0.00003684225076, 0.00009985794343, 0.00000618250473, 0.00009920133855, 0.00000352429983, 494.49842473719070, 0.08398560396746, 123.72508351031601, 0.11104421856733, 0.00230732538640, 0.00009170255750, 0.00184228940079, 0.00005850539051, 155.13706316227899, 7.11566869946381, 0.00230731614076, 0.00009170176539, 0.00184227928463, 0.00005850534018, 155.12042016632978, 7.09902570351462, 0.00000000000000, 0.00009170255750, 0.00000000000000, 0.00005850539051, 0.00000000000000, 7.11566869946381, 0.00000000000000, 0.00009170176539, 0.00000000000000, 0.00005850534018, 0.00000000000000, 7.09902570351462, 0.00035426858898, 0.00000700380545, 0.00000355203133, 0.00001556158350, 0.00000333369871, 0.00001596364382, C   
   6,   17,    6,    0, 10.56027614472153, 0.00001582250958, -9.08873600655391, 0.00002305038711, 0.00011720988410, 0.00000519515944, 0.00014041458060, 0.00000335229762, 488.20531501119166, 0.04769005273114, 117.25726276488221, 0.06947490458146, 0.00206316101658, 0.00005458783803, 0.00170852214612, 0.00003680599524, 8.27948083983330, 5.57212044426430, 0.00206314260703, 0.00005458736562, 0.00170852079459, 0.00003680595624, 8.26250783332711, 5.55514743775810, 0.00000000000000, 0.00005458783803, 0.00000000000000, 0.00003680599524, 0.00000000000000, 5.57212044426430, 0.00000000000000, 0.00005458736562, 0.00000000000000, 0.00003680595624, 0.00000000000000, 5.55514743775810, 0.00035426858898, 0.00000700380545, 0.00000355203133, 0.00001556158350, 0.00000333369871, 0.00001596364382, C   
   7,   19,    7,    0, 10.53591247361393, 0.00001786586205, -9.09698152420556, 0.00001737773875, 0.00038957177844, 0.00001292256636, 0.00036557400124, 0.00000714917969, 560.72272728530709, 0.05384888718007, 142.09010856587548, 0.05237731535667, 0.00214224955091, 0.00004229417783, 0.00210059964134, 0.00004069064569, 67.92375714425759, 40.77393660843222, 0.00214224129138, 0.00004229386346, 0.00210058996964, 0.00004069060392, 67.91062087559831, 40.76080033977296, 0.00000000000000, 0.00004229417783, 0.00000000000000, 0.00004069064569, 0.00000000000000, 40.77393660843222, 0.00000000000000, 0.00004229386346, 0.00000000000000, 0.00004069060392, 0.00000000000000, 40.76080033977296, 0.00103003262450, 0.00002567979113, 0.00000704228569, 0.00001556158531, 0.00001319234525, 0.00002474632129, C   
   8,   19,    8,    0, 10.53437342056208, 0.00003359460241, -9.09516585143584, 0.00003506076177, 0.00011979027670, 0.00000918575132, 0.00016274047351, 0.00000620205991, 565.30195706869108, 0.10125635198302, 136.61652109006258, 0.10567475916495, 0.00218087175454, 0.00010614003662, 0.00142526973650, 0.00004253326500, 136.70456717670936, 4.23367389624016, 0.00218086796153, 0.00010613919569, 0.00142526003664, 0.00004253323854, 136.69167678860265, 4.22078350813349, 0.00000000000000, 0.00010614003662, 0.00000000000000, 0.00004253326500, 0.00000000000000, 4.23367389624016, 0.00000000000000, 0.00010613919569, 0.00000000000000, 0.00004253323854, 0.00000000000000, 4.22078350813349, 0.00103003262450, 0.00002567979113, 0.00000704228569, 0.00001556158531, 0.00001319234525, 0.00002474632129, C   
   9,   20,    9,    0, 10.53138595574842, 0.00000636620123, -9.09127716694896, 0.00000672894650, 0.00093159088281, 0.00001179127220, 0.00090384445921, 0.00000666938748, 574.19062255538404, 0.01918815261232, 124.89383647154543, 0.02028135083387, 0.00213318944679, 0.00001608941677, 0.00204034395876, 0.00001472912711, 154.47493477348979, 6.88165338216402, 0.00213317993989, 0.00001608928227, 0.00204033521904, 0.00001472912152, 154.46252188506884, 6.86924049374306, 0.00000000000000, 0.00001608941677, 0.00000000000000, 0.00001472912711, 0.00000000000000, 6.88165338216402, 0.00000000000000, 0.00001608928227, 0.00000000000000, 0.00001472912152, 0.00000000000000, 6.86924049374306, 0.00139808780730, 0.00002149737296, 0.00000662275534, 0.00001556158350, 0.00001357341625, 0.00002311824392, S   
